=== Video Duration Debug Log - Worker 1 ===
Started: 2025-09-04 17:41:22.336049
Format: [TIMESTAMP] RESOURCE_NAME | URL | RAW_HTML_ELEMENT | EXTRACTED_DURATION
[17:42:47] Extractions | https://www.khanacademy.org/test-prep/mcat/chemical-processes/separations-purifications/v/extractions | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:39</span> | 8.7 minutes
[17:43:06] Basics of chromatography | https://www.khanacademy.org/test-prep/mcat/chemical-processes/separations-purifications/v/basics-of-chromatography | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:16</span> | 9.3 minutes
[17:43:19] Thin layer chromatography (TLC) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/separations-purifications/v/thin-layer-chromatography | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:5:07</span> | 5.1 minutes
[17:43:32] Calculating retention factors for TLC | https://www.khanacademy.org/test-prep/mcat/chemical-processes/separations-purifications/v/calculating-retention-factors-for-tlc | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:21</span> | 7.3 minutes
[17:43:43] Column chromatography | https://www.khanacademy.org/test-prep/mcat/chemical-processes/separations-purifications/v/column-chromatography | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:39</span> | 6.7 minutes
[17:43:50] Gas chromatography | https://www.khanacademy.org/test-prep/mcat/chemical-processes/separations-purifications/v/gas-chromatography | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:38</span> | 8.6 minutes
[17:43:58] Gel electrophoresis | https://www.khanacademy.org/test-prep/mcat/chemical-processes/separations-purifications/v/gel-electrophoresis | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:59</span> | 7.0 minutes
[17:44:05] Resolution of enantiomers | https://www.khanacademy.org/test-prep/mcat/chemical-processes/separations-purifications/v/resolution-of-enantiomers | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:5:02</span> | 5.0 minutes
[17:44:13] Nucleic acid structure 1 | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/nucleic-acid-structure-1 | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:03</span> | 10.1 minutes
[17:44:22] Antiparallel structure of DNA strands | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/antiparallel-structure-of-dna-strands | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:56</span> | 9.9 minutes
[17:44:28] Saponification - Base promoted ester hydrolysis | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/saponification-base-promoted-ester-hydrolysis | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:56</span> | 7.9 minutes
[17:44:36] Lipids - Structure in cell membranes | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/lipids-structure-in-cell-membranes | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:11</span> | 10.2 minutes
[17:44:42] Lipids as cofactors and signaling molecules | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/lipids-as-cofactors-and-signaling-molecules | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:43</span> | 7.7 minutes
[17:44:49] Carbohydrates - Naming and classification | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/carbohydrates-naming-and-classification-1 | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:28</span> | 10.5 minutes
[17:44:57] Fischer projections | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/fischer-projections | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:13:53</span> | 13.9 minutes
[17:45:06] Carbohydrates - Epimers, common names | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/carbohydrates-epimers-common-names | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:17</span> | 11.3 minutes
[17:45:15] Carbohydrates - Cyclic structures and anomers | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/carbohydrates-cyclic-structures-and-anomers-1 | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:12</span> | 11.2 minutes
[17:45:30] Carbohydrate - Glycoside formation hydrolysis | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/carbohydrate-glycoside-formation-hydrolysis | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:42</span> | 10.7 minutes
[17:45:47] Keto-enol tautomerization (by Sal) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/keto-enol-tautomerization | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:03</span> | 8.1 minutes
[17:45:55] Disaccharides and polysaccharides | https://www.khanacademy.org/test-prep/mcat/chemical-processes/nucleic-acids-lipids-and-carbohydrates/v/disaccharides-and-polysaccharides | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:13:03</span> | 13.1 minutes
[17:46:12] Central dogma of molecular biology | https://www.khanacademy.org/test-prep/mcat/chemical-processes/amino-acids-peptides-proteins-5d/v/central-dogma-of-molecular-biology-2 | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:4:22</span> | 4.4 minutes
[17:46:19] Central dogma - revisited | https://www.khanacademy.org/test-prep/mcat/chemical-processes/amino-acids-peptides-proteins-5d/v/central-dogma-revisited | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:12</span> | 6.2 minutes
[17:46:27] Amino acid structure | https://www.khanacademy.org/test-prep/mcat/chemical-processes/amino-acids-peptides-proteins-5d/v/amino-acid-structure | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:55</span> | 10.9 minutes
[17:46:35] Peptide bonds: Formation and cleavage | https://www.khanacademy.org/test-prep/mcat/chemical-processes/amino-acids-peptides-proteins-5d/v/peptide-bond-formation-and-cleavage | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:11</span> | 7.2 minutes
[17:46:42] Special cases: Histidine, proline, glycine, cysteine | https://www.khanacademy.org/test-prep/mcat/chemical-processes/amino-acids-peptides-proteins-5d/v/special-cases-histidine-proline-glycine-cysteine | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:18</span> | 8.3 minutes
[17:46:51] Isoelectric point and zwitterions | https://www.khanacademy.org/test-prep/mcat/chemical-processes/amino-acids-peptides-proteins-5d/v/isoelectric-point-and-zwitterions | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:5:25</span> | 5.4 minutes
[17:47:02] Classification of amino acids | https://www.khanacademy.org/test-prep/mcat/chemical-processes/amino-acids-peptides-proteins-5d/v/classification-amino-acids | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:06</span> | 6.1 minutes
[17:47:11] Four levels of protein structure | https://www.khanacademy.org/test-prep/mcat/chemical-processes/amino-acids-peptides-proteins-5d/v/four-levels-of-protein-structure | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:49</span> | 8.8 minutes
[17:47:21] Conformational stability: Protein folding and denaturation | https://www.khanacademy.org/test-prep/mcat/chemical-processes/amino-acids-peptides-proteins-5d/v/conformational-stability-protein-folding-and-denaturation-2 | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:44</span> | 7.7 minutes
[17:47:30] Amino acid structure | https://www.khanacademy.org/test-prep/mcat/chemical-processes/proteins/v/amino-acid-structure | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:55</span> | 10.9 minutes
[17:47:36] Alpha amino acid synthesis | https://www.khanacademy.org/test-prep/mcat/chemical-processes/proteins/v/alpha-amino-acid-synthesis | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:5:24</span> | 5.4 minutes
[17:47:42] Classification of amino acids | https://www.khanacademy.org/test-prep/mcat/chemical-processes/proteins/v/classification-amino-acids | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:06</span> | 6.1 minutes
