=== Video Duration Debug Log - Worker 1 ===
Started: 2025-09-04 17:41:22.336049
Format: [TIMESTAMP] RESOURCE_NAME | URL | RAW_HTML_ELEMENT | EXTRACTED_DURATION

[17:41:39] Intermolecular forces | https://www.khanacademy.org/test-prep/mcat/chemical-processes/covalent-bonds/v/intermolecular-forces-and-molecular-bonds | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:36</span> | 8.6 minutes
[17:41:48] sp³ hybridization | https://www.khanacademy.org/test-prep/mcat/chemical-processes/covalent-bonds/v/sp3-hybrid-orbital-jay-final | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:43</span> | 10.7 minutes
[17:41:56] Steric number | https://www.khanacademy.org/test-prep/mcat/chemical-processes/covalent-bonds/v/steric-number-sp3-hybridization | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:47</span> | 9.8 minutes
[17:42:02] Molecular polarity | https://www.khanacademy.org/test-prep/mcat/chemical-processes/covalent-bonds/v/dipole-moment | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:22</span> | 9.4 minutes
[17:42:11] sp² hybridization | https://www.khanacademy.org/test-prep/mcat/chemical-processes/covalent-bonds/v/sp2-hybridization-jay-final | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:12:42</span> | 12.7 minutes
[17:42:18] sp hybridization | https://www.khanacademy.org/test-prep/mcat/chemical-processes/covalent-bonds/v/sp-hybridization-jay-final | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:00</span> | 11.0 minutes
[17:42:26] Worked examples: Finding the hybridization of atoms in organic molecules | https://www.khanacademy.org/test-prep/mcat/chemical-processes/covalent-bonds/v/organic-hybridization-practice | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:21</span> | 10.3 minutes
[17:42:34] Acid-base definitions | https://www.khanacademy.org/test-prep/mcat/chemical-processes/covalent-bonds/v/acid-base-definitions-1 | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:49</span> | 7.8 minutes
[17:42:40] Simple and fractional distillations | https://www.khanacademy.org/test-prep/mcat/chemical-processes/separations-purifications/v/simple-and-fractional-distillations | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:30</span> | 9.5 minutes
