=== Video Duration Debug Log - Worker 2 ===
Started: 2025-09-04 17:41:22.337515
Format: [TIMESTAMP] RESOURCE_NAME | URL | RAW_HTML_ELEMENT | EXTRACTED_DURATION

[17:41:38] Keto-enol tautomerization (by Jay) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alpha-carbon-chemistry/v/keto-enol-tautomerization-2 | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:29</span> | 11.5 minutes
[17:41:47] Enolate formation from aldehydes | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alpha-carbon-chemistry/v/enolate-formation-from-aldehydes | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:12</span> | 6.2 minutes
[17:41:52] Enolate formation from ketones | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alpha-carbon-chemistry/v/enolate-formation-from-ketones | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:18</span> | 10.3 minutes
[17:41:59] Kinetic and thermodynamic enolates | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alpha-carbon-chemistry/v/kinetic-and-thermodynamic-enolates | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:19</span> | 8.3 minutes
[17:42:05] Aldol condensation | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alpha-carbon-chemistry/v/aldol-condensation | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:23</span> | 11.4 minutes
[17:42:13] Mixed (crossed) aldol condensation | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alpha-carbon-chemistry/v/mixed-crossed-aldol-condensation | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:25</span> | 9.4 minutes
[17:42:20] Mixed (crossed) aldol condensation using a lithium enolate | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alpha-carbon-chemistry/v/mixed-crossed-aldol-condensation-using-a-lithium-enolate | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:01</span> | 9.0 minutes
[17:42:26] Retro-aldol and retrosynthesis | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alpha-carbon-chemistry/v/retro-aldol-and-retrosynthesis | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:13</span> | 11.2 minutes
[17:42:32] Intramolecular aldol condensation | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alpha-carbon-chemistry/v/intramolecular-aldol-condensation | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:12:02</span> | 12.0 minutes
[17:42:39] Nomenclature of aldehydes and ketones | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/nomenclature-of-aldehydes-and-ketones | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:12:38</span> | 12.6 minutes
