=== Video Duration Debug Log - Worker 2 ===
Started: 2025-09-04 17:41:22.337515
Format: [TIMESTAMP] RESOURCE_NAME | URL | RAW_HTML_ELEMENT | EXTRACTED_DURATION
[17:42:45] Physical properties of aldehydes and ketones | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/physical-properties-of-aldehydes-and-ketones | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:13</span> | 10.2 minutes
[17:42:51] Reactivity of aldehydes and ketones | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/reactivity-of-aldehydes-and-ketones | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:05</span> | 10.1 minutes
[17:42:58] Formation of hydrates | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/formation-of-hydrates | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:27</span> | 7.5 minutes
[17:43:07] Formation of hemiacetals and hemiketals | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/formation-of-hemiacetals | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:44</span> | 10.7 minutes
[17:43:18] Acid and base catalyzed formation of hydrates and hemiacetals | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/acid-and-base-catalyzed-formation-of-hydrates-and-hemiacetals | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:26</span> | 10.4 minutes
[17:43:27] Formation of acetals | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/formation-of-acetals | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:14:15</span> | 14.2 minutes
[17:43:37] Acetals as protecting groups and thioacetals | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/acetals-as-protecting-groups-and-thioacetals | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:25</span> | 8.4 minutes
[17:43:47] Formation of imines and enamines | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/formation-of-imines-and-enamines | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:13:33</span> | 13.6 minutes
[17:43:53] Formation of oximes and hydrazones | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/formation-of-oximes-and-hydrazones | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:40</span> | 9.7 minutes
[17:44:02] Addition of carbon nucleophiles to aldehydes and ketones | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/addition-of-carbon-nucleophiles-to-aldehydes-and-ketones | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:33</span> | 9.6 minutes
[17:44:09] Formation of alcohols using hydride reducing agents | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/formation-of-alcohols-using-hydride-reducing-agents | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:35</span> | 11.6 minutes
[17:44:16] Oxidation of aldehydes using Tollens' reagent | https://www.khanacademy.org/test-prep/mcat/chemical-processes/aldehydes-and-ketones/v/oxidation-of-aldehydes-using-tollens-reagent | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:21</span> | 9.3 minutes
[17:44:25] Alcohol nomenclature | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alcohols-and-phenols/v/alcohol-nomenclature-rules | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:12:06</span> | 12.1 minutes
[17:44:31] Properties of alcohols | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alcohols-and-phenols/v/properties-of-alcohols | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:17</span> | 11.3 minutes
[17:44:42] Oxidation of alcohols | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alcohols-and-phenols/v/oxidation-of-alcohols | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:12:39</span> | 12.7 minutes
[17:44:50] Oxidation of alcohols (examples) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alcohols-and-phenols/v/oxidation-of-alcohols-example | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:03</span> | 7.0 minutes
[17:44:57] Protection of alcohols | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alcohols-and-phenols/v/protection-of-alcohols | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:54</span> | 7.9 minutes
[17:45:06] Preparation of mesylates and tosylates | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alcohols-and-phenols/v/preparation-of-mesylates-and-tosylates | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:41</span> | 8.7 minutes
[17:45:15] SN1 and SN2 reactions of alcohols | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alcohols-and-phenols/v/sn1-sn2-alcohols | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:23</span> | 10.4 minutes
[17:45:29] Biological redox reactions of alcohols and phenols | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alcohols-and-phenols/v/biologic-redox-reactions-of-alcohols-and-phenols | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:47</span> | 9.8 minutes
[17:45:39] Aromatic stability of benzene | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alcohols-and-phenols/v/aromatic-stability-of-benzene | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:00</span> | 6.0 minutes
[17:45:53] Aromatic heterocycles | https://www.khanacademy.org/test-prep/mcat/chemical-processes/alcohols-and-phenols/v/aromatic-heterocycles | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:49</span> | 11.8 minutes
[17:46:12] Carboxylic acid nomenclature and properties | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acids/v/carboxylic-acid-nomenclature-and-properties | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:52</span> | 8.9 minutes
[17:46:19] Reduction of carboxylic acids | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acids/v/reduction-of-carboxylic-acids | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:54</span> | 8.9 minutes
[17:46:25] Preparation of esters via Fischer esterification | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acids/v/preparation-of-esters-via-fischer-esterification | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:37</span> | 9.6 minutes
[17:46:33] Preparation of acyl (acid) chlorides | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acids/v/preparation-of-acyl-acid-chlorides | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:23</span> | 10.4 minutes
[17:46:40] Preparation of acid anhydrides | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acids/v/preparation-of-acid-anhydrides | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:09</span> | 7.2 minutes
[17:46:47] Preparation of amides using DCC | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acids/v/preparation-of-amides-using-dcc | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:54</span> | 11.9 minutes
[17:46:55] Decarboxylation | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acids/v/decarboxylation | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:47</span> | 6.8 minutes
[17:47:02] Alpha-substitution of carboxylic acids | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acids/v/alpha-substitution-of-carboxylic-acids | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:06</span> | 9.1 minutes
[17:47:09] Nomenclature and properties of acyl (acid) halides and acid anhydrides | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acid-derivatives/v/nomenclature-and-properties-of-acyl-acid-halides-and-acid-anhydrides | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:19</span> | 10.3 minutes
[17:47:18] Nomenclature and properties of esters | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acid-derivatives/v/nomenclature-and-properties-of-esters | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:31</span> | 10.5 minutes
[17:47:26] Nomenclature and properties of amides | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acid-derivatives/v/nomenclature-and-properties-of-amides | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:50</span> | 8.8 minutes
[17:47:32] Reactivity of carboxylic acid derivatives | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acid-derivatives/v/reactivity-of-carboxylic-acid-derivatives | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:03</span> | 9.1 minutes
[17:47:38] Nucleophilic acyl substitution | https://www.khanacademy.org/test-prep/mcat/chemical-processes/carboxylic-acid-derivatives/v/nucleophilic-acyl-substitution | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:29</span> | 9.5 minutes
